"Judul","Sinopsis","Genre"
"Misteri Perpustakaan yang Hilang (The Lost Library)","Suatu hari, perpustakaan kecil gratis muncul di Kota Martinville. Di dekatnya ada plang bertuliskan: AMBIL BUKU, TINGGALKAN BUKU. ATAU DUA-DUANYA! Evan mengambil dua buku dan mendapati buku-buku di perpustakaan tersebut berasal dari Perpustakaan Martinville yang terbakar dua puluh tahun lalu. 

Perpustakaan kecil gratis itu ternyata dibuat oleh hantu bernama Al dan dijaga oleh kucing manis bernama Mortimer. Al merupakan asisten pustakawan Perpustakaan Martinville sementara Mortimer dulu tinggal di sana. Setiap kali mengingat kebakaran Perpustakaan Martinville, hati Mortimer selalu berkata itu salahnya. Apa yang sebenarnya terjadi hari itu?

Prolog:
Mortimer menunggu di lantai batu ruang bawah tanah yang dingin di depan pintu tikus nomor empat, badannya yang berbulu oranye halus menutupi area seluas mungkin. Ia merentangkan cakar di depannya, seolah-olah hendak menangkap semangka. 

Buku, menurut Mortimer, memberikan gambaran yang salah tentang kucing. Dalam buku, kucing biasanya digambarkan sebagai hewan yang pongah, bahkan terkadang tidak peduli. Seolah-olah kucing tidak memiliki perasaan sama sekali. Kucing juga memiliki hati. Perasaan, kata hatinya. Mortimer punya banyak perasaan. Yang tidak dimilikinya adalah kata-kata. Tikus lebih pandai berbicara dibandingkan dirinya. Tikus banyak bicara. 

Selling Point:
Novel middle grade tentang pemecahan misteri. Novel ini memenangkan banyak penghargaan, salah satunya sebagai novel indie terbaik dan The Amazon #1 Best Kids` Book of 2023.","Misteri"
"The It Girl","Sepuluh tahun lalu, Hannah pulang ke kamar asrama kampus dan mendapati teman sekamarnya tergeletak di ruang tamu. April, sang it girl, kehilangan nyawa begitu cepat karena dicekik hingga tewas. 

Sepuluh tahun kemudian, Hannah mendapat kabar bahwa sang terdakwa meninggal di penjara karena serangan jantung di tengah rencana pengajuan banding. 

Wasiat akhir pria itu menyatakan bahwa mereka telah melakukan kesalahan. Mereka telah menghukum orang yang tak berdosa. 

Dan, sebagai saksi kunci, Hannah menjadi tertuduh. Karena jika tudingan itu benar, Hannah telah membiarkan pembunuh sesungguhnya berkeliaran hingga sekarang.

Tahun Terbit : Cetakan Pertama, Juli 2024

Pernahkah Anda terpikir betapa menariknya dunia yang terbuka lebar lewat lembaran buku? Membaca bukan hanya kegiatan rutin, tetapi juga petualangan tak terbatas ke dalam imajinasi dan pengetahuan.
 
Membaca mengasah pikiran, membuka wawasan, dan memperkaya kosakata. Ini adalah pintu menuju dunia di luar kita yang tak terbatas.

Tetapkan waktu khusus untuk membaca setiap hari. Dari membaca sebelum tidur hingga menyempatkan waktu di pagi hari, kebiasaan membaca dapat dibentuk dengan konsistensi.

Pilih buku sesuai minat dan level literasi. Mulailah dengan buku yang sesuai dengan keinginan dan kemampuan membaca.
 
Temukan tempat yang tenang dan nyaman untuk membaca. Lampu yang cukup, kursi yang nyaman, dan sedikit musik pelataran bisa menciptakan pengalaman membaca yang lebih baik.

Buat catatan atau jurnal tentang buku yang telah Anda baca. Tuliskan pemikiran, kesan, dan pelajaran yang Anda dapatkan.","Misteri"
"Misteri Asrama","Breaking News: Seorang siswa ditemukan tewas di tangga asrama dengan kondisi mata tertusuk payung! Ada apa dengan asrama elit tersebut? 

Sultan Raditya bingung luar biasa. Awalnya, dia bangga karena bisa diterima di Elite Nobel (EN) Highschool, terlebih karena dia lolos seleksi jalur prestasi untuk menjadi penghuni asrama Elite Nobel Generation (Engene) Putra, asrama elit khusus bagi siswa/i EN Highschool. Namun, ternyata ada banyak keanehan di asrama itu. Pertama, ada murid yang tewas setelah jatuh dari tangga. Lalu, banyak yang mengaku diganggu penampakan makhluk halus. Dan, yang paling mengerikan, ada hantu berleher patah yang menghantui salah satu teman Sultan. Tagar #AsramaEngeneBerhantu pun menjadi trending topic di media sosial. 

Demi menuntaskan rasa penasarannya, Sultan pun mengajak Jarvis, Nabil, Januarth, Jeremie, Hanif, dan Sadipta, untuk membongkar misteri asrama. Berhasilkah mereka membongkar misteri yang menyelimuti asrama Engene Putra? Benarkah asrama itu berhantu, atau asrama itu... dikutuk?

Tahun Terbit : Cetakan Pertama, 2024

Pernahkah Anda terpikir betapa menariknya dunia yang terbuka lebar lewat lembaran buku? Membaca bukan hanya kegiatan rutin, tetapi juga petualangan tak terbatas ke dalam imajinasi dan pengetahuan.
 
Membaca mengasah pikiran, membuka wawasan, dan memperkaya kosakata. Ini adalah pintu menuju dunia di luar kita yang tak terbatas.

Tetapkan waktu khusus untuk membaca setiap hari. Dari membaca sebelum tidur hingga menyempatkan waktu di pagi hari, kebiasaan membaca dapat dibentuk dengan konsistensi.

Pilih buku sesuai minat dan level literasi. Mulailah dengan buku yang sesuai dengan keinginan dan kemampuan membaca.
 
Temukan tempat yang tenang dan nyaman untuk membaca. Lampu yang cukup, kursi yang nyaman, dan sedikit musik pelataran bisa menciptakan pengalaman membaca yang lebih baik.

Buat catatan atau jurnal tentang buku yang telah Anda baca. Tuliskan pemikiran, kesan, dan pelajaran yang Anda dapatkan.","Misteri"
"The Case","Tentang detektif bernama Winata Azalyno dan bagaimana perjalanannya untuk menyelidiki sebuah kasus pembunuhan di SMA AE yang menyimpan banyak misteri. Kasus yang tak pernah terungkap kebenarannya, kasus yang mungkin berkaitan dengan masa lalu Winata dan berdampak pada kasus selanjutnya. 

Namun bisakah Winata mengungkap misteri di balik kasus pembunuhan iní? Tentu, itu tak mudah jika harus dílakukan oleh Winata sendíri, pasti akan ada yang membantunya karena maksud dan tujuan yang sama. 

Kebohongan, kesalahpahaman, penghianatan, bahkan sihir ada di siní, di perjalanan Winata untuk mengungkap misteri yang tak memiliki keadilan ini. Keadilan yang tak terwujud karena suatu kesalahan tanpa adanya pertanggungjawaban. Meski, kesalahan itu dilakukan demi mewujudkan keadilan.

Tahun Terbit : Cetakan Pertama, Juli 2024

Pernahkah Anda terpikir betapa menariknya dunia yang terbuka lebar lewat lembaran buku? Membaca bukan hanya kegiatan rutin, tetapi juga petualangan tak terbatas ke dalam imajinasi dan pengetahuan.
 
Membaca mengasah pikiran, membuka wawasan, dan memperkaya kosakata. Ini adalah pintu menuju dunia di luar kita yang tak terbatas.

Tetapkan waktu khusus untuk membaca setiap hari. Dari membaca sebelum tidur hingga menyempatkan waktu di pagi hari, kebiasaan membaca dapat dibentuk dengan konsistensi.

Pilih buku sesuai minat dan level literasi. Mulailah dengan buku yang sesuai dengan keinginan dan kemampuan membaca.
 
Temukan tempat yang tenang dan nyaman untuk membaca. Lampu yang cukup, kursi yang nyaman, dan sedikit musik pelataran bisa menciptakan pengalaman membaca yang lebih baik.

Buat catatan atau jurnal tentang buku yang telah Anda baca. Tuliskan pemikiran, kesan, dan pelajaran yang Anda dapatkan.","Misteri"
"Kronik Kematian (Chronicle of a Death Foretold)","Seorang pria pulang ke kota asalnya untuk mengulik pembunuhan yang terjadi lama berselang. Dua puluh tujuh tahun silam, Bayardo San Roman mengembalikan istrinya yang cantik, Angela Vicario, kepada mertuanya, hanya beberapa jam setelah menikah, dengan alasan si istri tidak perawan. Pedro dan Pablo Vicario, kakak kembar Angela, lantas pergi mencari Santiago Nasar, kekasih Angela yang dituding sebagai biang keladi permasalahan ini. 

Sebelum membunuh Santiago, si kembar Vicario mengumumkan niat mereka itu kepada seisi kota. Semua orang tahu persis akan ada pembunuhan, tapi kenapa tidak seorang pun bertindak dan berusaha mencegahnya? Makin lama urusannya makin pelik dan berujung pada akhir yang sungguh tak bisa dijelaskan.

Profil Penulis:
Gabriel García Márquez, atau dikenal dengan julukan “Gabo” atau “Gabito” lahir di Aracataka, Colombia. Dia belajar di Universitas Bogotá, kemudian menjadi wartawan surat kabar Colombia El Espectador dan sebagai koresponden asing di Roma, Paris, Barcelona, Caracas, dan New York. Dia menulis beberapa novel dan kumpulan cerita, termasuk: Eyes of a Blue Dog (1947), Leaf Storm (1955), No One Writes to the Colonel (1958), In Evil Hour (1962), Big Mama’s Funeral (1962), One Hundred Years of Solitude (1967), Innocent Eréndira and Other Stories (1972), The Autumn of the Patriarch (1975), Chronicle of a Death Foretold (1981), Love in the Time of Cholera (1985), The General in His Labyrinth (1989), Strange Pilgrims (1992), Of Love and Other Demons (1994) dan Memories of My Melancholy Whores (2005). Gabriel García Márquez memenangkan Hadiah Nobel untuk Sastra pada tahun 1982.","Misteri"
"Enola Holmes dan Ekskursi Elegan","Awalnya Enola hanya berniat untuk menemui Lady Cecily, tetapi tanpa disangka-sangka, Lady Cecily malah meminta bantuan Enola agar bisa pergi dari kediaman Alistair. Akhirnya Enola membawa Lady Cecily ke tempat persembunyiannya dan membiarkan sahabatnya yang hanya memakai piama itu beristirahat di sana. 

Sherlock yang mendapat perintah dari Lady Theodora, ibu Lady Cecily, mendatangi tempat tinggal Enola untuk menanyakan terkait hilangnya Lady Cecily kepada adiknya itu. Enola berpura-pura tidak tahu dan membiarkan Sherlock menggeledah seisi ruangan. Sherlock pun pulang dengan tangan hampa karena tidak menemukan apa-apa.  

KEUNGGULAN
Merupakan cerita detektif yang tidak terlalu berat sehingga cocok untuk para pembaca muda maupun dewasa. Bisa juga dibaca oleh para penggemar Sherlock Holmes karena tokoh kakak Enola tersebut kerap muncul dalam serial petualangan adiknya. Dalam seri kedelapan ini, Enola dan Sherlock bekerja sama untuk menemukan Lady Cecily.


Profil Penulis:
Nancy Springer dibesarkan di Gettysburg, Pennsylvania bersama keluarganya.
Kecintaannya pada cerita detektif, khususnya karya Sir Arthur Conan Doyle tentang Sherlock Holmes, menginspirasinya menciptakan karakter Enola Holmes.
Selain menulis seri Enola Holmes, ia juga telah menghasilkan banyak karya lain yang diterbitkan oleh berbagai penerbit.

Penghargaan yang pernah diraihnya termasuk Edgar Award dan Anthony Award.
Nancy Springer pernah membantu orang tuanya mengelola motel.
Ia memiliki dua orang anak dari pernikahan pertamanya dengan Joel Springer.
Selain menulis, ia juga aktif dalam kegiatan sosial seperti memberi makan kucing liar dan melukis wajah untuk penggalangan dana perpustakaan umum.

Karya - Karya NANCY SPRINGER yang lainnya:
An Enola Holmes Mystery: The Case of the Bizzare Bouquet (Misteri Buket Bunga Kematian)
Enola Holmes #6 Kasus Perpisahan Gipsi
Kisah Misteri Enola Holmes: Kasus Kipas Merah Muda Misterius
Kisah Misteri Enola Holmes: Kasus Kode Rahasia Crinoline
Kisah Misteri Enola Holmes - Misteri Nona Bertangan Kidal
Kisah Misteri Enola Holmes : Kasus Menghilangnya Sang Marquess","Misteri"
"Kasus Pembunuhan Honjin","Keluarga Ichiyanagi merupakan keluarga pemilik honjin yang sudah ada sejak Zaman Edo. Bunyi koto dan suara jeritan ganjil membahana pada malam pesta pernikahan sang ahli waris. Pasangan pengantin baru ditemukan tewas dibantai dengan tubuh bersimbah darah di ruang duduk paviliun mereka. Di dekat bantal, terdapat koto pusaka Keluarga Ichiyanagi, serta partisi lipat berlapis daun emas yang berhiaskan bercak darah berbentuk tiga jari. Salju yang turun dan menumpuk tebal telah mengubur seluruh permukaan halaman, membuat ruang duduk paviliun tersebut seutuhnya menjadi ruang tertutup.

Selain Kasus Pembunuhan Honjin yang menjadi judul buku sekaligus ajang kemunculan pertama Kindaichi Kosuke setelah pulang dari Amerika, simak juga dua novelet lain dalam buku ini, yaitu Kenapa Sumur Timba Berderit dan Kasus Kedai Minum Kucing Hitam. Seri Detektif Kindaichi

Profil Penulis:
Seishi Yokomizo (横溝 正史) lahir pada tahun 1902 di Kota Kobe. Ia adalah alumni Perguruan Tinggi Farmasi Osaka (sistem lama). Ia bergabung dengan Penerbit Hakubunkan pada tahun 1926. Ia sempat menjabat sebagai kepala redaksi majalah Shin Seinen dan majalah fiksi detektif lainnya sebelum mengundurkan diri tahun 1932 untuk mulai menekuni dunia penulisan. Ia juga sempat menjalani masa pemulihan dari sakit di Shinshu serta masa evakuasi di Okayama akibat Perang Dunia II. Seusai masa perang, ia berturut-turut memublikasikan mahakaryanya di majalah fiksi detektif Hoseki, dimulai dari Kasus Pembunuhan Honjin (memenangkan penghargaan novel terbaik dalam Penghargaan Penulis Fiksi Detektif Pertama), Pulau Gokumon, Lagu Temari sang Iblis, dan lainnya. Rilisnya film adaptasi Petaka Keluarga Inugami pada tahun 1976 menyebabkan terjadinya “Yokomizo Boom” secara besar-besaran. Sampai saat ini pun, karyanya masih mendapat dukungan dari banyak pembaca. Ia wafat pada tahun 1981.","Misteri"
"The Shadow of Sakura (Kasus #3 Sugi dan Laura)","Lelah terus-menerus berurusan dengan marabahaya, Sugi memutuskan untuk resign dari kepolisian. Laura, partner Sugi dalam kedua kasus sebelumnya, mempertanyakaan keputusan Sugi. Semesta pun tampaknya belum berpihak pada Sugi, karena Menteri Siber dan Teknologi, Lukhy Wicaksana, menunjuk keduanya untuk mengusut kasus judi online yang marak di masyarakat. 

Namun, belum lagi memulai penyidikan, Sugi malah sudah terancam bahaya. Tengah malam di rumahnya, tiba-tiba sebuah drone menjatuhkan bom yang melahap rumah Sugi. Untungnya, Sugi selamat. Beberapa hari kemudian, media ramai memberitakan kematian Menteri Lukhy saat tengah bertugas ke Yogyakarta. Lagi-lagi, Sugi dan Laura ditunjuk untuk menemukan pelaku pembunuhan sang menteri. 

Di buku terakhir seri kasus Sugi dan Laura ini, kedua detektif kembali berhadapan dengan maut. Lawan mereka kali ini adalah yang terburuk dari kedua kasus sebelumnya. Ditambah pula, ada banyak kepentingan yan harus mereka jaga sembari memenuhi tanggung jawab. Dapatkah Sugi dan Laura lolos dari maut kali ini?

Selling Point:
Seperti kedua buku sebelumnya, kasus yang diangkat di buku ketiga Sugi dan Laura ini relate dengan masalah yang dihadapi di Indonesia. Membahas mengenai judi online dan balas dendam, pembaca akan mudah menikmati cerita ini. Seru! Kasus terakhir pasangan detektif Sugi dan Laura. Di tengah rasa galau untuk pensiun dini dari pekerjaan mereka, mereka malah ditugaskan untuk mengusut kasus judi online dan pembunuhan.","Misteri"
"The Nerror Vault: Unsolved","Hi, it’s Nessie again!
Tidak akan ada yang pernah tahu bagaimana jalan kita menjumpai kematian. Tapi kematian dengan cara dibunuh merupakan kejadian yang tidak diinginkan siapa pun di muka bumi ini. Beberapa kasus diantaranya bahkan melibatkan warganet dalam penyelidikannya karena penyebab kematiannya meninggalkan teka-teki yang menggemparkan dunia. 
Mulai dari dugaan hilang diculik seperti Elisa Lam, ditemukan terbunuh mengenaskan layaknya pasangan Rogers dalam kasus Ice Box Murders atau baru ditemukan jasadnya setelah puluhan tahun seperti kumpulan anak-anak yang sedang mencari salamander di kaki gunung di Korea, bahkan tidak menutup kemungkinan sebuah keluarga besar yang dihormati karena kebaikannya seperti keluarga Chundawat di India yang menemui ajalnya secara bersamaan.
Jawaban atas 12 kasus dari berbagai negara yang tidak pernah benar-benar diselesaikan karena penyebabnya meninggalkan misteri lain. Penasaran dengan cerita lengkapnya?
Stop senyum-senyum and grab this book now!

Profil Penulis:
Nessie Judge, yang memiliki nama lengkap Nasreen Anisputri Judge, adalah seorang YouTuber dan content creator asal Indonesia. Ia lahir di Solo pada tanggal 30 Oktober 1993. Nessie dikenal karena konten-kontennya yang beragam, mulai dari cerita horor, ulasan film, hingga diskusi tentang isu-isu sosial.
Karier:
Nessie memulai karirnya di YouTube pada tahun 2012 dengan membuat video tentang pengalamannya mewawancarai orang asing di Eropa tentang Indonesia. Namun, namanya mulai dikenal luas setelah ia membuat segmen Nerror pada tahun 2017, di mana ia menceritakan kisah-kisah horor dari berbagai sumber. Selain itu, Nessie juga sering membuat konten tentang kehidupan pribadinya, pengalamannya sebagai seorang wanita, dan pandangannya tentang berbagai isu sosial.

Pendidikan:
Nessie merupakan lulusan S2 Administrasi Bisnis dari IPMI International Business School.

Prestasi:
Nessie Judge telah meraih berbagai penghargaan, termasuk:
YouTube Silver Play Button (100.000 subscribers)
YouTube Gold Play Button (1 juta subscribers)
YouTube Diamond Play Button (10 juta subscribers)","Misteri"
"Toko Buku Kucing Hitam","Marzio Montecristo, mantan guru matematika dan penggemar berat cerita kriminal, membuka toko buku kecil di Cagliari dengan spesialisasi novel misteri. Toko bukunya bernama “Les Chats Noirs” (kucing hitam), terinspirasi dari dua kucing hitam yang berkunjung ke toko dan sejak itu tidak pernah pergi. Keduanya menjadi daya tarik toko dengan banyak pengikut di Instagram, menyelamatkan toko dari kebangkrutan akibat kejudesan Marzio. Marzio menamai mereka Miss Marple dan Poirot.

Les Chats Noirs juga memiliki Klub Buku Detektif Selasa. Geng yang tampak tidak serasi tetapi nyatanya sangat kompak. Bahkan, setahun lalu, Detektif Selasa membantu Angela Dimase, detektif yang juga teman lama Marzio untuk menyelesaikan suatu kasus. 

Kini, Angela kembali meminta bantuan mereka untuk menyelidiki kasus pembunuhan berantai yang sangat kejam. Tiga kasus pembunuhan yang tampak acak, tidak meninggalkan banyak bukti, begitu rapi seolah dilakukan oleh hantu. Pelakunya dijuluki “pembunuh jam pasir” karena selalu meninggalkan jam pasir di TKP. 

Maka, Detektif Selasa berupaya membongkar labirin misteri, di bawah tatapan dua kucing hitam di Toko Buku Les Chats Noir.

Tahun Terbit : Cetakan Pertama, Juni 2024                                                                                                 

                                                                                               ************

Pernahkah Anda terpikir betapa menariknya dunia yang terbuka lebar lewat lembaran buku? Membaca bukan hanya kegiatan rutin, tetapi juga petualangan tak terbatas ke dalam imajinasi dan pengetahuan. Membaca mengasah pikiran, membuka wawasan, dan memperkaya kosakata. Ini adalah pintu menuju dunia di luar kita yang tak terbatas. Tetapkan waktu khusus untuk membaca setiap hari. 

Dari membaca sebelum tidur hingga menyempatkan waktu di pagi hari, kebiasaan membaca dapat dibentuk dengan konsistensi. Pilih buku sesuai minat dan level literasi. Mulailah dengan buku yang sesuai dengan keinginan dan kemampuan membaca. Temukan tempat yang tenang dan nyaman untuk membaca. Lampu yang cukup, kursi yang nyaman, dan sedikit musik pelataran bisa menciptakan pengalaman membaca yang lebih baik. Bergabunglah dalam kelompok membaca atau forum literasi. Diskusikan buku yang Anda baca dan dapatkan rekomendasi dari sesama pembaca. Buat catatan atau jurnal tentang buku yang telah Anda baca. 

Tuliskan pemikiran, kesan, dan pelajaran yang Anda dapatkan. Libatkan keluarga dalam kegiatan membaca. Bacakan cerita untuk anak-anak atau ajak mereka membaca bersama. Ini menciptakan ikatan keluarga yang erat melalui kegiatan positif. Jangan ragu untuk menjelajahi genre baru. Terkadang, kejutan terbaik datang dari buku yang tidak pernah Anda bayangkan akan Anda nikmati. Manfaatkan teknologi dengan membaca buku digital atau bergabung dalam komunitas literasi online. Ini membuka peluang untuk terhubung dengan pembaca dari seluruh dunia.","Misteri"
"Risalah Teh & Tiga Keluarga","Kehidupan desa perkebunan teh yang tenang, sejuk dan jauh dari kota perlahan berubah. menjadi ganjil ketika Harli, sang kakak Samhadi yang juragan kebun teh, ditemukan tewas.

Seorang ahli teh internasional bernama Burnomo kembali ke perkebunan tersebut memperebutkan lahan kebun teh yang paling menjanjikan di sana. Kehadirannya mengundang tanya bagi warga setempat. Tak terkecuali Samhadi yang terlanjur terpandang sebagai juragan teh. Perseteruan Burnomo dan Samhadi menjadi satu dari sekian tanda tanya yang membawa korban mulai berjatuhan.

Sementara, Raslan yang seorang buruh teh menjadi saksi segala yang tersurat dan tersirat di antara kelindan tiga keluarga dan kebun teh luas yang mengelilingi mereka.

Tahun Terbit : Cetakan Pertama, Juni 2024                                                                                                 

                                                                                               ************

Pernahkah Anda terpikir betapa menariknya dunia yang terbuka lebar lewat lembaran buku? Membaca bukan hanya kegiatan rutin, tetapi juga petualangan tak terbatas ke dalam imajinasi dan pengetahuan. Membaca mengasah pikiran, membuka wawasan, dan memperkaya kosakata. Ini adalah pintu menuju dunia di luar kita yang tak terbatas. Tetapkan waktu khusus untuk membaca setiap hari. 

Dari membaca sebelum tidur hingga menyempatkan waktu di pagi hari, kebiasaan membaca dapat dibentuk dengan konsistensi. Pilih buku sesuai minat dan level literasi. Mulailah dengan buku yang sesuai dengan keinginan dan kemampuan membaca. Temukan tempat yang tenang dan nyaman untuk membaca. Lampu yang cukup, kursi yang nyaman, dan sedikit musik pelataran bisa menciptakan pengalaman membaca yang lebih baik. Bergabunglah dalam kelompok membaca atau forum literasi. Diskusikan buku yang Anda baca dan dapatkan rekomendasi dari sesama pembaca. Buat catatan atau jurnal tentang buku yang telah Anda baca. 

Tuliskan pemikiran, kesan, dan pelajaran yang Anda dapatkan. Libatkan keluarga dalam kegiatan membaca. Bacakan cerita untuk anak-anak atau ajak mereka membaca bersama. Ini menciptakan ikatan keluarga yang erat melalui kegiatan positif. Jangan ragu untuk menjelajahi genre baru. Terkadang, kejutan terbaik datang dari buku yang tidak pernah Anda bayangkan akan Anda nikmati. Manfaatkan teknologi dengan membaca buku digital atau bergabung dalam komunitas literasi online. Ini membuka peluang untuk terhubung dengan pembaca dari seluruh dunia.","Misteri"
"Hyouka","Kalau kita menyelidikinya, mungkin akan terjadi hal-hal yang tidak baik.

Oreki Hotaro adalah pemuda hemat energi. Mottonya adalah, “Kalau tidak butuh dikerjakan, lebih baik tidak dikerjakan. Kalau harus dikerjakan, sebisanya sana.”

Hanya saja, semua itu berubah saat dia dipaksa bergabung dengan Klub Sastra Klasik. Chitanda Eru—gadis dengan rasa penasaran yang tinggi—mengubah hari-hari hotaro, dan dia harus memecahkan misteri demi misteri yang terjadi di sekitar mereka.

Gara-gara Chitanda, mereka dihadapkan pada kasus 33 tahun yang lalu. Hanya saja, petunjuk mereka hanyalah sebuah antologi berjudul Hyouka.

Tahun Terbit : Cetakan Sebelas, Juni 2024

                                                                                                         **********	

Pernahkah Anda terpikir betapa menariknya dunia yang terbuka lebar lewat lembaran buku? Membaca bukan hanya kegiatan rutin, tetapi juga petualangan tak terbatas ke dalam imajinasi dan pengetahuan. Membaca mengasah pikiran, membuka wawasan, dan memperkaya kosakata. Ini adalah pintu menuju dunia di luar kita yang tak terbatas. Tetapkan waktu khusus untuk membaca setiap hari. 

Dari membaca sebelum tidur hingga menyempatkan waktu di pagi hari, kebiasaan membaca dapat dibentuk dengan konsistensi. Pilih buku sesuai minat dan level literasi. Mulailah dengan buku yang sesuai dengan keinginan dan kemampuan membaca. Temukan tempat yang tenang dan nyaman untuk membaca. Lampu yang cukup, kursi yang nyaman, dan sedikit musik pelataran bisa menciptakan pengalaman membaca yang lebih baik. Bergabunglah dalam kelompok membaca atau forum literasi. Diskusikan buku yang Anda baca dan dapatkan rekomendasi dari sesama pembaca. Buat catatan atau jurnal tentang buku yang telah Anda baca. 

Tuliskan pemikiran, kesan, dan pelajaran yang Anda dapatkan. Libatkan keluarga dalam kegiatan membaca. Bacakan cerita untuk anak-anak atau ajak mereka membaca bersama. Ini menciptakan ikatan keluarga yang erat melalui kegiatan positif. Jangan ragu untuk menjelajahi genre baru. Terkadang, kejutan terbaik datang dari buku yang tidak pernah Anda bayangkan akan Anda nikmati. Manfaatkan teknologi dengan membaca buku digital atau bergabung dalam komunitas literasi online. Ini membuka peluang untuk terhubung dengan pembaca dari seluruh dunia.","Misteri"
"Petaka Keluarga Inugami","Kisah pembunuhan klasik yang mencekam, mahakarya salah satu penulis misteri paling terkenal di Jepang. 

Pada tahun 1940-an, pemimpin Keluarga Inugami yang kaya raya meninggal, dan para anggota keluarganya menantikan pembacaan surat wasiat dengan tidak sabar. Namun, tak lama setelah isi surat wasiat yang mengejutkan itu terungkap, serangkaian tragedi berdarah pun dimulai. 

Detektif Kindaichi Kosuke harus menguak rahasia-rahasia gelap tentang hubungan terlarang, kekejaman tak terbayangkan, dan identitas tersembunyi untuk mencari sang pembunuh serta menghentikan petaka yang melanda Keluarga Inugami. Seri Detektif Kindaichi

Profil Penulis:
Seishi Yokomizo (横溝正史) lahir pada tahun 1902 di Kota Kobe. Ia adalah alumni Perguruan Tinggi Farmasi Osaka (sistem lama). Ia bergabung dengan Penerbit Hakubunkan pada tahun 1926. Ia sempat menjabat sebagai kepala redaksi majalah Shin Seinen dan majalah fiksi detektif lainnya sebelum mengundurkan diri tahun 1932 untuk mulai menekuni dunia penulisan. Ia juga sempat menjalani masa pemulihan dari sakit di Shinshu serta masa evakuasi di Okayama akibat Perang Dunia II. Seusai masa perang, ia berturut-turut memublikasikan mahakaryanya di majalah fiksi detektif Hoseki, dimulai dari Kasus Pembunuhan Honjin (memenangkan penghargaan novel terbaik dalam Penghargaan Penulis Fiksi Detektif Pertama), Pulau Gokumon, Lagu Temari sang Iblis, dan lainnya. Rilisnya film adaptasi Petaka Keluarga Inugami pada tahun 1976 menyebabkan terjadinya “Yokomizo Boom” secara besar-besaran. Sampai saat ini pun, karyanya masih mendapat dukungan dari banyak pembaca. Ia wafat pada tahun 1981.","Misteri"
"Secret High School","Sudharma High School (SHS) diguncang skandal! 

Seorang alumni mengaku ginjalnya hilang satu pasca pulang dari pertukaran pelajar. Informasi itu membuat Azka Gionino Nathaniel khawatir. Pasalnya, Seno, sahabat Azka yang sudah lama menghilang, dikabarkan akan mengikuti program pertukaran pelajar SHS. 

Azka tak tỉnggal diam. Dia mengajak teman-temannya untuk menyelamatkan Seno: Arshaka, murid baru idola para siswi: Jarrel, si hacker jenius: Januar yang ahli matematika: Jayden, sang jagoan pencari informasi: serta Riky, si Super Rich. Namun, perjuangan enam sahabat ini jelas tidak mudah. Mereka hanyalah siswa biasa yang minim pengalaman, sementara lawannya adalah sebuah organisasi besar. 

Berhasilkah Azka dkk menyelamatkan Seno?

Tahun Terbit : Cetakan Pertama, Mei 2024

Pernahkah Anda terpikir betapa menariknya dunia yang terbuka lebar lewat lembaran buku? Membaca bukan hanya kegiatan rutin, tetapi juga petualangan tak terbatas ke dalam imajinasi dan pengetahuan.
 
Membaca mengasah pikiran, membuka wawasan, dan memperkaya kosakata. Ini adalah pintu menuju dunia di luar kita yang tak terbatas.

Tetapkan waktu khusus untuk membaca setiap hari. Dari membaca sebelum tidur hingga menyempatkan waktu di pagi hari, kebiasaan membaca dapat dibentuk dengan konsistensi.

Pilih buku sesuai minat dan level literasi. Mulailah dengan buku yang sesuai dengan keinginan dan kemampuan membaca.
 
Temukan tempat yang tenang dan nyaman untuk membaca. Lampu yang cukup, kursi yang nyaman, dan sedikit musik pelataran bisa menciptakan pengalaman membaca yang lebih baik.

Buat catatan atau jurnal tentang buku yang telah Anda baca. Tuliskan pemikiran, kesan, dan pelajaran yang Anda dapatkan.","Misteri"
